El caso (1,) tomó 0 flips.
El caso (1, 2) tomó 0 flips.
El caso (2, 1) tomó 1 flips.
El caso (3, 4, 2, 1, 5, 6) tomó 2 flips.
El caso (3, 4, 2, 1, 6, 5) tomó 4 flips.
El caso (3, 4, 2, 5, 1, 6) tomó 4 flips.
El caso (3, 4, 2, 5, 6, 1) tomó 4 flips.
El caso (3, 4, 2, 6, 1, 5) tomó 5 flips.
El caso (3, 4, 2, 6, 5, 1) tomó 5 flips.
El caso (3, 4, 5, 1, 2, 6) tomó 3 flips.
El caso (3, 4, 5, 1, 6, 2) tomó 4 flips.
El caso (3, 4, 5, 2, 1, 6) tomó 2 flips.
El caso (3, 4, 5, 2, 6, 1) tomó 4 flips.
El caso (3, 4, 5, 6, 1, 2) tomó 3 flips.
El caso (3, 4, 5, 6, 2, 1) tomó 2 flips.
El caso (3, 4, 6, 1, 2, 5) tomó 5 flips.
El caso (3, 4, 6, 1, 5, 2) tomó 5 flips.
El caso (3, 4, 6, 2, 1, 5) tomó 4 flips.
El caso (3, 4, 6, 2, 5, 1) tomó 5 flips.
El caso (3, 4, 6, 5, 1, 2) tomó 4 flips.
El caso (3, 4, 6, 5, 2, 1) tomó 3 flips.
